.NET (Core) 5
File read & write test with 28,61 MB done in 02:24:22:825!




|Write (0,017 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|Buffer 32768 Chunk 131072 (229 times)|00:0099908|-85.81|00:0102552|-85.44|00:0088446|-87.44|00:0088845|-87.39|00:5297208|652.12|00:5333962|657.33|
|Buffer 32768 Chunk 262144 (115 times)|00:0108048|-84.66|00:0107413|-84.75|00:0088742|-87.4|00:0090243|-87.19|00:4037411|473.25|00:4517036|541.34|
|Buffer 65536 Chunk 1024 (29297 times)|00:0314613|-55.33|00:0112911|-83.97|00:0104726|-85.13|00:0103284|-85.34|00:7445000|957.07|00:7795683|1006.86|
|Buffer 65536 Chunk 2048 (14649 times)|00:0110754|-84.27|00:0115526|-83.6|00:0100313|-85.76|00:0106321|-84.9|00:7556211|972.86|00:7334046|941.31|
|Buffer 65536 Chunk 4096 (7325 times)|00:0111427|-84.18|00:0112870|-83.97|00:0100376|-85.75|00:0098646|-85.99|00:7833918|1012.29|00:7520647|967.81|
|Buffer 65536 Chunk 8192 (3663 times)|00:0115437|-83.61|00:0108474|-84.6|00:0098017|-86.08|00:0098237|-86.05|03:2002534|4443.83|00:7593121|978.1|
|Buffer 65536 Chunk 16384 (1832 times)|00:0115179|-83.65|00:0119911|-82.97|00:0102213|-85.49|00:0103487|-85.31|00:7370932|946.55|00:7971226|1031.78|
|Buffer 65536 Chunk 32768 (916 times)|00:0131269|-81.36|00:0118435|-83.18|00:0109756|-84.42|00:0114722|-83.71|00:7967567|1031.26|00:7926528|1025.44|
|Buffer 65536 Chunk 65536 (458 times)|00:0109045|-84.52|00:0126688|-82.01|00:0088917|-87.38|00:0089919|-87.23|00:7008036|895.03|00:6853489|873.08|
|Buffer 65536 Chunk 131072 (229 times)|00:0099865|-85.82|00:0103749|-85.27|00:0088207|-87.48|00:0090128|-87.2|00:5371065|662.6|00:5222970|641.58|
|Buffer 65536 Chunk 262144 (115 times)|00:0103698|-85.28|00:0106238|-84.92|00:0088682|-87.41|00:0089692|-87.27|00:4333951|515.35|00:4000477|468|
|Buffer 131072 Chunk 1024 (29297 times)|00:0114060|-83.81|00:0120658|-82.87|00:0107512|-84.74|00:0102272|-85.48|00:4889393|594.21|00:5222640|641.53|
|Buffer 131072 Chunk 2048 (14649 times)|00:0108743|-84.56|00:0125562|-82.17|00:0112370|-84.05|00:0101237|-85.63|00:5222614|641.53|00:5370785|662.56|
|Buffer 131072 Chunk 4096 (7325 times)|00:0106450|-84.89|00:0118954|-83.11|00:0097983|-86.09|00:0099379|-85.89|00:5000662|610.01|00:5222612|641.52|
|Buffer 131072 Chunk 8192 (3663 times)|00:0105185|-85.07|00:0106921|-84.82|00:0101939|-85.53|00:0108566|-84.59|02:2474826|3091.06|00:5106997|625.11|
|Buffer 131072 Chunk 16384 (1832 times)|00:0107818|-84.69|00:0119206|-83.07|00:0102014|-85.52|00:0100841|-85.68|00:4891096|594.46|00:5130171|628.4|
|Buffer 131072 Chunk 32768 (916 times)|00:0133658|-81.02|00:0118305|-83.2|00:0107278|-84.77|00:0106163|-84.93|00:5510413|682.39|00:5204156|638.9|
|Buffer 131072 Chunk 65536 (458 times)|00:0131598|-81.32|00:0139885|-80.14|00:0109032|-84.52|00:0113643|-83.86|00:5068528|619.65|00:5055942|617.86|
