.NET Framework 4.7.2

|Read (0 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|Buffer 4096 Chunk 65536 (458 times)|00:0106196|-84.69|00:0100040|-85.58|00:0094772|-86.33|00:0090233|-86.99|00:7408149|968.18|00:7056133|917.43|
|Buffer 4096 Chunk 131072 (229 times)|00:0422430|-39.09|00:0096991|-86.01|00:0090437|-86.96|00:0101339|-85.39|00:5584498|705.23|00:5463371|687.77|
|Buffer 4096 Chunk 262144 (115 times)|00:0116521|-83.2|00:0097128|-86|00:0100358|-85.53|00:0099185|-85.7|00:4481888|546.24|00:4463423|543.58|
|Buffer 8192 Chunk 1024 (29297 times)|00:0186056|-73.17|00:0190267|-72.57|00:0173575|-74.97|00:0171026|-75.34|03:3723682|4762.63|03:7391767|5291.53|
|Buffer 8192 Chunk 2048 (14649 times)|00:0192109|-72.3|00:0654531|-5.62|00:0235931|-65.98|00:0168568|-75.69|03:5743324|5053.84|03:6132519|5109.96|
|Buffer 8192 Chunk 4096 (7325 times)|00:0210279|-69.68|00:0199009|-71.3|00:0169706|-75.53|00:0170759|-75.38|03:6705578|5192.59|03:4669149|4898.95|
|Buffer 8192 Chunk 8192 (3663 times)|00:0167459|-75.85|00:0177134|-74.46|00:0161187|-76.76|00:0161381|-76.73|03:6428644|5152.66|03:6743445|5198.05|
|Buffer 8192 Chunk 16384 (1832 times)|00:0131769|-81|00:0136175|-80.36|00:0118453|-82.92|00:0120254|-82.66|01:9205548|2669.25|01:9723990|2744.01|
|Buffer 8192 Chunk 32768 (916 times)|00:0114077|-83.55|00:0102364|-85.24|00:0098201|-85.84|00:0098014|-85.87|01:0667609|1438.17|01:1359374|1537.91|
|Buffer 8192 Chunk 65536 (458 times)|00:0104195|-84.98|00:0098354|-85.82|00:0089764|-87.06|00:0090441|-86.96|00:6889457|893.39|00:6612413|853.45|
|Buffer 8192 Chunk 131072 (229 times)|00:0108329|-84.38|00:0097122|-86|00:0090207|-86.99|00:0123960|-82.13|00:5534954|698.09|00:5551686|700.5|
|Buffer 8192 Chunk 262144 (115 times)|00:0116513|-83.2|00:0102330|-85.25|00:0102060|-85.28|00:0088072|-87.3|00:4222602|508.86|00:4111473|492.83|
|Buffer 16384 Chunk 1024 (29297 times)|00:0161280|-76.74|00:0147742|-78.7|00:0137358|-80.19|00:0134897|-80.55|01:9094056|2653.18|01:9797863|2754.66|
